<CAZCO_NAUNAY_WLAN_2020.03.11.11.29.57.txt>
172.21.172.87/21
f0:99:b6:06:7b:96	172.21.168.121
74:9e:af:63:7b:c6	172.21.169.121
1c:36:bb:90:ee:d3	172.21.168.122
f8:2d:7c:5c:67:ea	172.21.169.122
98:fe:94:30:61:a4	172.21.173.122
f4:0f:24:0b:8b:06	172.21.168.123
b8:c1:11:38:f4:09	172.21.173.123
2c:f0:ee:30:45:70	172.21.173.124
e8:36:17:0b:78:cd	172.21.168.126
88:75:98:65:74:51	172.21.172.126
88:66:a5:68:f5:30	172.21.173.126
48:60:5f:40:1a:e7	172.21.168.127
34:e1:2d:e8:f1:ac	172.21.169.127
44:4a:db:93:05:60	172.21.172.127
20:32:6c:41:40:cd	172.21.173.127
90:63:3b:75:b9:e4	172.21.173.128
9c:fc:01:7a:48:35	172.21.168.129
90:17:c8:69:3d:98	172.21.168.130
cc:66:0a:b8:bf:da	172.21.173.130
9c:e3:3f:aa:6c:01	172.21.169.131
38:f9:d3:bd:19:64	172.21.168.133
d4:61:9d:37:e9:3c	172.21.169.133
50:76:af:51:39:fc	172.21.173.134
04:b4:29:4c:b8:fd	172.21.168.135
d0:e1:40:9a:1d:e8	172.21.168.136
74:81:14:41:91:2c	172.21.169.136
98:46:0a:2d:a3:5e	172.21.168.137
d0:c6:37:a4:37:1a	172.21.169.137
04:b4:29:5d:0a:7f	172.21.172.137
bc:a9:20:84:a6:3b	172.21.173.137
98:01:a7:94:80:05	172.21.169.138
bc:a9:20:94:b7:da	172.21.172.138
08:f6:9c:0b:e7:12	172.21.172.139
3c:cd:5d:32:54:29	172.21.168.140
c4:b3:01:b9:14:21	172.21.173.140
10:98:c3:26:7c:89	172.21.168.141
18:1d:ea:38:fb:76	172.21.169.141
d8:ce:3a:91:b2:17	172.21.173.141
10:5b:ad:4c:3c:71	172.21.168.142
68:ab:1e:e9:78:3d	172.21.173.142
f0:e4:a2:75:75:98	172.21.168.143
80:91:33:3c:2a:47	172.21.169.144
f4:0f:24:2e:0a:17	172.21.173.144
f8:34:41:21:76:b3	172.21.169.145
90:73:5a:ba:91:34	172.21.172.145
30:59:b7:14:6d:68	172.21.173.145
88:19:08:78:f4:51	172.21.168.146
60:ab:67:d5:0f:a2	172.21.173.147
cc:2d:b7:cd:51:2c	172.21.168.148
6c:40:08:a1:5d:e8	172.21.173.148
dc:a9:04:d4:f1:84	172.21.172.149
28:ff:3c:0b:c8:55	172.21.173.149
74:8d:08:5c:56:1b	172.21.168.150
90:97:f3:44:bf:22	172.21.172.150
c8:d0:83:9e:9b:a6	172.21.173.150
